id LogIdx EVCs(:,1) EVCs(:,2) ERs(:,1) ERs(:,2) RTs(:,1) RTs(:,2) ExpectedStateParam ActualStateParam ControlParamType_1 ControlParamType_2 ControlParamVal_1 ControlParamVal_2 CtrlIntensities_1 CtrlIntensities_2 ACC_HypotheticalBOLD_1 ACC_HypotheticalBOLD_2 ACC_HypotheticalBOLD_3 ACC_HypotheticalBOLD_4 ACC_HypotheticalBOLD_5 ACC_HypotheticalBOLD_6 ACC_HypotheticalBOLD_7 ACC_HypotheticalBOLD_8 TrialType TrialDescr condition 
15 1 105.8777 105.8777 0.067812 0.067812 0.52322 0.52322 -0.28 -0.28 1 1 -0.08 -0.076 0.2 0.2 0 0 105.8777 0.4 1.6442 0.032128 0.6 -0.2 1 B_con 1 
15 2 11.6557 103.682 0.8988 0.1012 0.5579 0.5579 1.28 1.28 1 1 0 0 0 0 570285.1363 -570285.1363 11.6557 0 0 0.020201 0.4 -0.4 1 A_con 0 
15 3 70.8068 105.8896 0.37188 0.067812 0.67908 0.52322 -0.28 -0.28 1 1 -0.08 -0.076 0.2 0.2 538666.2579 538666.2579 70.8068 0.4 1.6442 0.020201 0.4 0.4 1 B_con -1 
15 4 91.1736 50.7683 0.16939 0.51959 0.60756 0.68975 0.52 0.52 1 1 0.16 -0.152 0.4 0.4 28890.7495 28890.7495 91.1736 0.8 4.6402 0.020201 0.4 0.4 1 B_inc 0 
15 5 81.6696 103.8206 0.24811 0.056126 0.64529 0.50825 -0.28 -0.28 1 1 0 -0.228 0 0.6 37235.496 -36992.9372 81.6696 0.6 5.0496 0.032128 0.6 -0.2 1 B_con 0 
15 6 25.2738 56.0308 0.78057 0.514 0.63335 0.68987 0.48 0.48 1 1 0 0 0 0 528354.4187 -528354.4187 25.2738 0 0 0.043339 0.6 -0.6 1 A_inc 1 
15 7 86.8645 103.8094 0.20299 0.056126 0.62563 0.50825 -0.28 -0.28 1 1 0 -0.228 0 0.6 520868.028 520868.028 86.8645 0.6 5.0496 0.043339 0.6 0.6 1 B_con 1 
15 8 23.8252 56.0308 0.79313 0.514 0.62752 0.68987 0.48 0.48 1 1 0 0 0 0 520990.9234 -520990.9234 23.8252 0 0 0.043339 0.6 -0.6 1 A_inc 0 
15 9 88.5568 68.9358 0.18832 0.35838 0.61814 0.6766 0.52 0.52 1 1 0 -0.228 0 0.6 518295.9843 518295.9843 88.5568 0.6 5.0496 0.043339 0.6 0.6 1 B_inc 1 
15 10 81.7194 68.9791 0.24796 0.35838 0.64523 0.6766 0.52 0.52 1 1 0 -0.228 0 0.6 97288.6772 -97133.5292 81.7194 0.6 5.0496 0 0 0 1 B_inc 1 
15 11 58.7887 103.7909 0.44617 0.056126 0.6881 0.50825 1.28 1.28 1 1 0.228 0 0.6 0 458699.3497 -215142.4522 58.7887 0.6 5.0496 0.061837 1.2 0 1 A_con 1 
15 12 37.9689 61.3347 0.6634 0.46088 0.67203 0.689 0.52 0.52 1 1 0 -0.076 0 0.2 247395.4148 -157525.6575 37.9689 0.2 0.82212 0.045736 0.8 -0.4 1 B_inc 0 
15 13 80.2939 68.9334 0.25992 0.35838 0.6497 0.6766 0.48 0.48 1 1 0.228 0 0.6 0 440174.0227 374133.3505 80.2939 0.6 5.0496 0.045736 0.8 0.4 1 A_inc 1 
15 14 58.7219 68.9173 0.44675 0.35838 0.68814 0.6766 0.52 0.52 1 1 0 -0.228 0 0.6 453066.1363 -215342.0483 58.7219 0.6 5.0496 0.061837 1.2 0 1 B_inc 0 
15 15 62.9477 68.9791 0.41066 0.35838 0.68474 0.6766 0.52 0.52 1 1 0 -0.228 0 0.6 25554.615 25426.6684 62.9477 0.6 5.0496 0 0 0 1 B_inc 0 
15 16 65.5439 69.4519 0.34492 0.31105 0.67386 0.66571 0.52 0.52 1 1 0 -0.304 0 0.8 14564.0478 14557.0046 65.5439 0.8 10.0232 0.014243 0.2 0.2 1 B_inc 0 
15 17 73.7025 99.9802 0.27361 0.045861 0.65446 0.49326 1.28 1.28 1 1 0.304 0 0.8 0 474652.3439 62035.7425 73.7025 0.8 10.0232 0.083287 1.6 0 1 A_con 1 
15 18 90.6566 103.8385 0.17038 0.056126 0.60813 0.50825 1.28 1.28 1 1 0.228 0 0.6 0 226591.5646 226591.5646 90.6566 0.6 5.0496 0.014243 0.2 -0.2 1 A_con 1 
15 19 97.6522 58.7189 0.12622 0.46366 0.57865 0.68914 0.48 0.48 1 1 0.152 -0.08 0.4 0.2 30792.2459 30710.4961 97.6522 0.6 3.1422 0.020201 0.4 -5.5511e-17 1 A_inc 1 
15 20 35.1534 104.9027 0.68795 0.083417 0.66598 0.54066 -0.28 -0.28 1 1 0 -0.076 0 0.2 519445.7045 -519445.7045 35.1534 0.2 0.82212 0.028688 0.4 -0.4 1 B_con 0 
15 21 47.3512 104.9112 0.5823 0.083417 0.68554 0.54066 1.28 1.28 1 1 0.076 0 0.2 0 134426.3137 48986.0316 47.3512 0.2 0.82212 0.020201 0.4 0 1 A_con 1 
15 22 78.9271 105.1376 0.29569 0.068523 0.6614 0.52407 1.28 1.28 1 1 0.152 0 0.4 0 453636.5755 453636.5755 78.9271 0.4 2.3201 0.014243 0.2 0.2 1 A_con 0 
15 23 93.9136 105.5297 0.14557 0.04489 0.59252 0.49174 1.28 1.28 1 1 0.152 0.16 0.4 0.4 16437.8745 16437.8745 93.9136 0.8 4.6402 0.028688 0.4 0.4 1 A_con 1 
15 24 100.0791 105.5584 0.09238 0.04489 0.54966 0.49174 1.28 1.28 1 1 0.152 0.16 0.4 0.4 1436.2089 1436.2089 100.0791 0.8 4.6402 0 0 0 1 A_con 1 
15 25 15.5974 103.6613 0.86446 0.1012 0.58554 0.5579 -0.28 -0.28 1 1 0 0 0 0 569303.993 -569303.993 15.5974 0 0 0.040811 0.8 -0.8 1 B_con 1 
15 26 64.5249 56.0741 0.44075 0.514 0.6877 0.68987 0.48 0.48 1 1 0 0 0 0 482064.2832 482064.2832 64.5249 0 0 0 0 0 1 A_inc 1 
15 27 64.5368 103.8094 0.39651 0.056126 0.68292 0.50825 1.28 1.28 1 1 0.228 0 0.6 0 176387.4575 -133022.011 64.5368 0.6 5.0496 0.043339 0.6 0.6 1 A_con 1 
15 28 32.2295 56.0308 0.72029 0.514 0.65646 0.68987 0.52 0.52 1 1 0 0 0 0 343364.2938 -343210.9694 32.2295 0 0 0.043339 0.6 -0.6 1 B_inc 1 
15 29 41.9549 65.8814 0.61601 0.40864 0.68108 0.6845 0.52 0.52 1 1 0 -0.152 0 0.4 76585.4519 76324.0911 41.9549 0.4 2.3201 0.028688 0.4 0.4 1 B_inc 1 
15 30 52.1794 103.8385 0.50386 0.056126 0.68997 0.50825 -0.28 -0.28 1 1 0 -0.228 0 0.6 83138.0634 83116.4479 52.1794 0.6 5.0496 0.014243 0.2 0.2 1 B_con 0 
15 31 81.9374 103.8527 0.24607 0.056126 0.6445 0.50825 -0.28 -0.28 1 1 0 -0.228 0 0.6 355487.6027 355487.6027 81.9374 0.6 5.0496 0 0 0 1 B_con 0 
15 32 94.3065 105.808 0.15522 0.055535 0.59886 0.50744 -0.28 -0.28 1 1 -0.08 -0.152 0.2 0.4 46812.2826 46812.2826 94.3065 0.6 3.1422 0.020201 0.4 -5.5511e-17 1 B_con 0 
15 33 18.8551 56.042 0.8363 0.514 0.60415 0.68987 0.48 0.48 1 1 0 0 0 0 567282.2191 -567282.2191 18.8551 0 0 0.032128 0.6 -0.6 1 A_inc 1 
15 34 91.1739 103.8094 0.16564 0.056126 0.60532 0.50825 -0.28 -0.28 1 1 0 -0.228 0 0.6 553911.4925 553911.4925 91.1739 0.6 5.0496 0.043339 0.6 0.6 1 B_con 1 
15 35 21.4524 56.0308 0.81369 0.514 0.61707 0.68987 0.48 0.48 1 1 0 0 0 0 553304.2169 -553304.2169 21.4524 0 0 0.043339 0.6 -0.6 1 A_inc 1 
15 36 90.0946 103.8094 0.17499 0.056126 0.61081 0.50825 -0.28 -0.28 1 1 0 -0.228 0 0.6 533145.0485 533145.0485 90.0946 0.6 5.0496 0.043339 0.6 0.6 1 B_con 1 
15 37 22.4571 103.6588 0.80499 0.1012 0.62163 0.5579 1.28 1.28 1 1 0 0 0 0 532738.5073 -532738.5073 22.4571 0 0 0.043339 0.6 -0.6 1 A_con 0 
15 38 58.7632 104.9172 0.48344 0.083417 0.68982 0.54066 1.28 1.28 1 1 0.076 0 0.2 0 299921.01 299921.01 58.7632 0.2 0.82212 0.014243 0.2 0.2 1 A_con 1 
15 39 33.6361 103.6879 0.70835 0.1012 0.66019 0.5579 -0.28 -0.28 1 1 0 0 0 0 295828.5363 -295828.5363 33.6361 0 0 0.014243 0.2 -0.2 1 B_con 1 
15 40 47.9423 103.7022 0.58448 0.1012 0.6853 0.5579 1.28 1.28 1 1 0 0 0 0 43005.0363 42997.0363 47.9423 0 0 0 0 0 1 A_con 1 
15 41 78.2345 58.707 0.29442 0.46366 0.66102 0.68914 0.48 0.48 1 1 0.152 -0.08 0.4 0.2 509339.148 509339.148 78.2345 0.6 3.1422 0.032128 0.6 0.6 1 A_inc 1 
15 42 73.612 68.9589 0.31805 0.35838 0.66755 0.6766 0.48 0.48 1 1 0.228 0 0.6 0 104165.1808 -101754.213 73.612 0.6 5.0496 0.020201 0.4 5.5511e-17 1 A_inc 1 
15 43 71.8038 68.9791 0.3339 0.35838 0.67141 0.6766 0.48 0.48 1 1 0.228 0 0.6 0 96717.7688 -96039.6421 71.8038 0.6 5.0496 0 0 0 1 A_inc 1 
15 44 63.5704 68.9173 0.40472 0.35838 0.68401 0.6766 0.52 0.52 1 1 0 -0.228 0 0.6 445193.992 -109057.2591 63.5704 0.6 5.0496 0.061837 1.2 0 1 B_inc 1 
15 45 71.4589 68.9173 0.33635 0.35838 0.67197 0.6766 0.48 0.48 1 1 0.228 0 0.6 0 461698.0989 57988.0534 71.4589 0.6 5.0496 0.061837 1.2 0 1 A_inc 0 
15 46 68.7397 69.3929 0.31671 0.31105 0.66721 0.66571 0.52 0.52 1 1 0 -0.304 0 0.8 467649.0758 -33237.8982 68.7397 0.8 10.0232 0.073271 1.4 0.2 1 B_inc 1 
15 47 69.075 100.0635 0.31444 0.045861 0.66661 0.49326 -0.28 -0.28 1 1 0 -0.304 0 0.8 3205.8657 -2750.1884 69.075 0.8 10.0232 0 0 0 1 B_con 1 
15 48 34.5784 104.8714 0.69266 0.083417 0.66471 0.54066 1.28 1.28 1 1 0.076 0 0.2 0 304304.5026 -232171.586 34.5784 0.2 0.82212 0.060043 1 -0.6 1 A_con 0 
15 49 71.6761 103.824 0.33476 0.056126 0.67161 0.50825 1.28 1.28 1 1 0.228 0 0.6 0 430583.9222 430583.9222 71.6761 0.6 5.0496 0.028688 0.4 0.4 1 A_con 0 
15 50 90.4662 58.7189 0.18851 0.46366 0.61824 0.68914 0.48 0.48 1 1 0.152 -0.08 0.4 0.2 95060.8562 95060.8562 90.4662 0.6 3.1422 0.020201 0.4 -5.5511e-17 1 A_inc 0 
15 51 40.4533 104.9027 0.64201 0.083417 0.67653 0.54066 -0.28 -0.28 1 1 0 -0.076 0 0.2 498300.2812 -498300.2812 40.4533 0.2 0.82212 0.028688 0.4 -0.4 1 B_con 1 
