id LogIdx EVCs(:,1) EVCs(:,2) ERs(:,1) ERs(:,2) RTs(:,1) RTs(:,2) ExpectedStateParam ActualStateParam ControlParamType_1 ControlParamType_2 ControlParamVal_1 ControlParamVal_2 CtrlIntensities_1 CtrlIntensities_2 ACC_HypotheticalBOLD_1 ACC_HypotheticalBOLD_2 ACC_HypotheticalBOLD_3 ACC_HypotheticalBOLD_4 ACC_HypotheticalBOLD_5 ACC_HypotheticalBOLD_6 ACC_HypotheticalBOLD_7 ACC_HypotheticalBOLD_8 TrialType TrialDescr condition 
8 1 108.2005 55.4311 0.047537 0.5049 0.98861 1.506 0.695 0.695 1 1 0.076 -0.077 0.2 0.2 0 0 108.2005 0.4 1.6442 0.048577 0.6 -0.2 1 inc 1 
8 2 99.1458 105.9417 0.0965 0.037599 1.1425 0.94506 1.465 1.465 1 1 0.228 0 0.6 0 1966.0624 -1966.0351 99.1458 0.6 5.0496 0.048577 0.6 0.2 1 con -1 
8 3 103.6261 107.8808 0.074358 0.037481 1.0819 0.9445 1.465 1.465 1 1 0.152 0.077 0.4 0.2 1538.9645 1538.9176 103.6261 0.6 3.1422 0.030455 0.4 -5.5511e-17 1 con 0 
8 4 105.6916 61.1112 0.056719 0.4431 1.0238 1.5005 0.695 0.695 1 1 0.152 -0.077 0.4 0.2 303.0007 258.2953 105.6916 0.6 3.1422 0 0 0 1 inc 1 
8 5 96.779 72.7311 0.11717 0.3256 1.1904 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 5248.8276 -5248.8276 96.779 0.6 5.0496 0.030455 0.4 5.5511e-17 1 inc 0 
8 6 89.3315 72.7615 0.18198 0.3256 1.3055 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 43351.1427 -43324.5265 89.3315 0.6 5.0496 0 0 0 1 inc 0 
8 7 83.4782 105.9902 0.23271 0.037599 1.3705 0.94506 1.465 1.465 1 1 0.228 0 0.6 0 40636.7152 -40636.7152 83.4782 0.6 5.0496 0 0 0 1 con 1 
8 8 96.7294 105.9902 0.11786 0.037599 1.1919 0.94506 1.465 1.465 1 1 0.228 0 0.6 0 83757.2935 83757.2935 96.7294 0.6 5.0496 0 0 0 1 con 0 
8 9 102.2546 107.8808 0.086245 0.037481 1.1158 0.9445 1.465 1.465 1 1 0.152 0.077 0.4 0.2 4942.9812 4942.9812 102.2546 0.6 3.1422 0.030455 0.4 -5.5511e-17 1 con 1 
8 10 105.0682 107.9113 0.062123 0.037481 1.0428 0.9445 1.465 1.465 1 1 0.152 0.077 0.4 0.2 487.8459 444.4386 105.0682 0.6 3.1422 0 0 0 1 con 1 
8 11 106.3705 107.9113 0.050835 0.037481 1.0017 0.9445 1.465 1.465 1 1 0.152 0.077 0.4 0.2 127.5678 127.5678 106.3705 0.6 3.1422 0 0 0 1 con 1 
8 12 107.1377 108.2277 0.056984 0.047537 1.0248 0.98861 1.465 1.465 1 1 0.076 0.077 0.2 0.2 53.716 53.716 107.1377 0.4 1.6442 0.02144 0.2 -0.2 1 con 1 
8 13 107.6176 55.4797 0.05301 0.5049 1.0101 1.506 0.695 0.695 1 1 0.076 -0.077 0.2 0.2 98.6684 -53.4707 107.6176 0.4 1.6442 0 0 0 1 inc 0 
8 14 98.5552 72.7129 0.10162 0.3256 1.155 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 2411.3244 -2411.3244 98.5552 0.6 5.0496 0.048577 0.6 0.2 1 inc 1 
8 15 90.929 72.7615 0.16814 0.3256 1.2844 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 34783.407 -34684.2316 90.929 0.6 5.0496 0 0 0 1 inc 0 
8 16 84.6456 105.9902 0.2226 0.037599 1.3589 0.94506 1.465 1.465 1 1 0.228 0 0.6 0 44412.0533 -44412.0533 84.6456 0.6 5.0496 0 0 0 1 con 0 
8 17 97.1382 72.7615 0.11432 0.3256 1.1842 1.4513 0.695 0.695 1 1 0.228 0 0.6 0 76929.1331 76929.1331 97.1382 0.6 5.0496 0 0 0 1 inc 0 
